CITY/ DISTRICT,STATE,AQI,TREECOVER,LAND,LATTITUDE,LONGITUDE,WEATHER,HUMIDITY,POPDENSE,PERCIPITATION,TRAFFIC
ETAWAH,UTTAR PRADESH,50,10.88,2311,26.7767,79.023,40,25,683,-98,3
MIRZAPUR,UTTAR PRADESH,60,18.25,4405,25.1398,82.5804,40,30,561,-43,3
BIKANER,RAJASTHAN,90,0.85,30239,28.0229,73.3119,40,33,78,99,3
SAMBALPUR,ODISHA,80,49.7,6624,21.4669,83.9752,40,41,158,-42,3
MATHURA,UTTAR PRADESH,50,1.71,3340,27.4924,77.6737,39,25,761,-37,3
VARANASI,UTTAR PRADESH,50,1.11,1535,25.3176,82.9739,39,25,2399,91,3
BHARATPUR,RAJASTHAN,50,4.55,5066,27.2156,77.6253,38,38,503,26,3
ALWAR,RAJASTHAN,50,14.28,8380,27.56,76.625,38,26,438,10,3
JALGAON,MAHARASHTRA,40,9.75,11765,21.0077,75.5626,38,44,359,-28,3
GUNTUR,ANADHRA PRADESH,30,7.8,11391,16.307,80.4376,38,42,855.9,-33,3
PALI,RAJASTHAN,30,5.45,12387,25.7754,73.3247,37,39,165,-66,3
AKOLA,MAHARASHTRA,30,6,5673,20.7059,76.9687,36,40,321,-27,3
AURANGABAD,MAHARASHTRA,25,5.61,10131,19.8762,75.3433,35,30,365,28,3
VADODARA,GUJARAT,50,7.99,7546,22.3072,73.1812,35,48,467,-66,3
AJMER,RAJASTHAN,35,3.6,8481,26.4499,74.6399,35,38,305,9,3
JAMNAGAR,GUJARAT,30,3.32,14184,22.4707,70.0577,35,60,153,-53,3
RAJKOT,GUJARAT,35,1.38,11198,22.3047,70.8021,35,50,282,-55,3
PARBHANI,MAHARASHTRA,30,0.65,6214,19.2671,76.7708,35,50,295,26,3
AHMADNAGAR,MAHARASHTRA,30,1.57,17048,19.0946,74.7487,35,41,266,0,3
SOLAPUR,MAHARASHTRA,30,0.33,14895,17.6599,75.9064,35,41,290,-13,3
BHILWARA,RAJASTHAN,30,2.14,10455,25.348,74.64,34,35,230,-44,3
RATLAM,MADHYA PRADESH,45,1.23,4861,23.33,75.04,34,47,299,-59,3
CHITTOOR,ANADHRA PRADESH,30,21.12,15152,13.211,79.1202,34,60,273.23,59,3
LATUR,MAHARASHTRA,30,0.18,7157,18.4088,76.5604,34,53,343,30,3
